timestamp,dataset,method,purity,status,elapsed_sec,elapsed_min,ave_acc,std_acc,runs,epochs,model,log_file,error
2026-05-18T06:35:59.487972,cs,degree_centrality,0.8,success,31.7,0.53,0.9312,0.0016,20,60,GCN,logs_v2/cs_degree_centrality_p0.800.log,
2026-05-18T06:36:29.191234,cs,degree_centrality,0.9,success,29.7,0.50,0.9320,0.0015,20,60,GCN,logs_v2/cs_degree_centrality_p0.900.log,
2026-05-18T06:36:59.195336,cs,degree_centrality,0.95,success,30.0,0.50,0.9322,0.0015,20,60,GCN,logs_v2/cs_degree_centrality_p0.950.log,
2026-05-18T06:37:29.346589,cs,degree_centrality,0.975,success,30.2,0.50,0.9323,0.0018,20,60,GCN,logs_v2/cs_degree_centrality_p0.975.log,
2026-05-18T06:37:59.296644,cs,degree_centrality,1.0,success,29.9,0.50,0.9324,0.0013,20,60,GCN,logs_v2/cs_degree_centrality_p1.000.log,
2026-05-18T06:42:43.441454,cs,closeness,0.7,success,284.1,4.74,0.9310,0.0021,20,60,GCN,logs_v2/cs_closeness_p0.700.log,
2026-05-18T06:47:26.384537,cs,closeness,0.8,success,282.9,4.72,0.9310,0.0016,20,60,GCN,logs_v2/cs_closeness_p0.800.log,
2026-05-18T06:52:08.626769,cs,closeness,0.9,success,282.2,4.70,0.9318,0.0012,20,60,GCN,logs_v2/cs_closeness_p0.900.log,
2026-05-18T06:56:51.917343,cs,closeness,0.95,success,283.3,4.72,0.9320,0.0017,20,60,GCN,logs_v2/cs_closeness_p0.950.log,
2026-05-18T07:01:34.107725,cs,closeness,0.975,success,282.2,4.70,0.9324,0.0015,20,60,GCN,logs_v2/cs_closeness_p0.975.log,
2026-05-18T07:06:16.397602,cs,closeness,1.0,success,282.3,4.70,0.9325,0.0012,20,60,GCN,logs_v2/cs_closeness_p1.000.log,
2026-05-18T07:28:05.265684,cs,betweenness,0.7,success,1308.9,21.81,0.9290,0.0015,20,60,GCN,logs_v2/cs_betweenness_p0.700.log,
2026-05-18T07:49:50.540219,cs,betweenness,0.8,success,1305.3,21.75,0.9300,0.0018,20,60,GCN,logs_v2/cs_betweenness_p0.800.log,
2026-05-18T08:11:50.768555,cs,betweenness,0.9,success,1320.2,22.00,0.9320,0.0012,20,60,GCN,logs_v2/cs_betweenness_p0.900.log,
2026-05-18T08:33:32.779708,cs,betweenness,0.95,success,1302.0,21.70,0.9308,0.0017,20,60,GCN,logs_v2/cs_betweenness_p0.950.log,
2026-05-18T08:55:21.945482,cs,betweenness,0.975,success,1309.2,21.82,0.9309,0.0010,20,60,GCN,logs_v2/cs_betweenness_p0.975.log,
2026-05-18T09:17:19.122377,cs,betweenness,1.0,success,1317.2,21.95,0.9312,0.0015,20,60,GCN,logs_v2/cs_betweenness_p1.000.log,
2026-05-18T09:17:49.772495,cs,pagerank,0.7,success,30.6,0.51,0.9286,0.0013,20,60,GCN,logs_v2/cs_pagerank_p0.700.log,
2026-05-18T09:18:21.573621,cs,pagerank,0.8,success,31.8,0.53,0.9301,0.0010,20,60,GCN,logs_v2/cs_pagerank_p0.800.log,
